Link_ID,Length_L_km,Area_H_km2
478908,0.802,0.52663
459743,0.617,0.59064
382066,0.941,0.57033
419707,0.945,0.59328
426652,0.163,0.02525
419170,0.163,0.06315
460213,0.75,0.17593
427183,0.909,0.20176
427657,0.259,0.08829
429649,0.688,0.18915
416955,1.041,0.29041
406017,0.518,0.21491
424323,0.394,0.17663
381743,0.457,0.24083
388852,0.193,0.13925
444402,1.555,1.08279
426484,1.131,0.55492
430895,1.329,0.71871
412303,0.947,0.40428
441927,0.163,0.05037
369421,0.426,0.10153
421956,0.614,0.16406
367353,0.326,0.07615
405871,0.548,0.24019
448944,0.75,0.28955
396186,1,0.5062
369928,0.682,0.36803
394167,0.163,0.06328
392462,0.263,0.05063
436922,1.706,1.13396
404165,0.163,0.02529
429758,0.811,0.39089
425459,0.48,0.35323
478351,0.525,0.56426
450631,0.163,0.03775
403368,0.819,0.36672
425449,0.557,0.32799
376843,0.294,0.12676
405165,1.17,0.50569
443172,1.144,0.42813
398988,2.17,1.6703
418514,0.355,0.27773
479800,0.095,0.02508
381592,0.457,0.25349
371007,0.193,0.15221
432361,0.584,0.26498
455342,0.781,0.16346
398965,0.294,0.08855
398017,1.363,0.73382
418521,0.62,0.32824
377841,0.263,0.19011
433881,0.384,0.25207
422580,0.782,0.44168
412663,0.259,0.10106
449676,0.421,0.26459
406442,0.457,0.17697
433176,0.709,0.31511
380814,1.661,1.06476
439054,0.613,0.37826
422151,0.835,0.53002
441921,0.457,0.1889
408834,0.777,0.46762
454182,0.968,0.75641
421085,0.584,0.30289
456126,0.87,0.55319
410966,0.457,0.15162
416234,0.096,0.05057
432508,0.968,0.73109
398634,1.308,0.7717
455341,0.425,0.18861
377330,0.294,0.07608
419696,0.425,0.20197
434428,0.385,0.42944
413987,0.72,0.25261
413204,0.422,0.18948
457783,0.688,0.54051
418950,0.294,0.15149
425466,0.425,0.18922
417112,1.271,0.35353
389402,1.074,0.44324
399656,0.355,0.54388
422380,0.163,0.08833
482972,1.7,1.11554
463281,1.128,0.64063
481129,1.306,1.06558
369791,0.682,0.26649
387306,0.62,0.39265
383958,0.851,0.2661
468705,0.096,0.01255
392338,0.489,0.11394
464187,0.588,0.15072
385854,0.712,0.31672
416765,1.532,0.77069
405865,0.557,0.17704
462151,0.383,0.28903
401359,1.368,0.79693
403062,0.548,0.31614
397814,0.482,0.44289
417860,0.425,0.17676
409843,1.695,0.70769
489866,0.611,0.40078
414428,0.547,0.44201
452029,0.775,0.49058
487870,0.487,0.60166
434583,0.096,0.03782
392846,1.393,1.07604
483625,1.062,0.67901
484984,0.456,0.27566
416428,0.62,0.30306
376980,0.809,0.2663
443335,1.159,0.54141
369131,0.749,0.24113
433732,1.101,0.49154
405675,0.326,0.06321
432168,1.082,0.61771
420375,1.516,1.14854
427843,0.68,0.47925
446960,1.388,0.61669
434434,0.259,0.22735
460962,0.425,0.26386
454932,0.546,0.41495
482092,0.611,0.27575
474900,1.008,0.43904
430352,0.811,0.40347
464041,1.511,0.96716
431240,0.421,0.42866
483544,0.719,0.26322
417682,1.106,0.26514
459339,0.287,0.21365
418961,0.163,0.13887
480435,0.449,0.40119
430177,0.325,0.18915
437513,1.093,0.59213
425120,0.719,0.44154
490196,0.618,0.25048
394534,1.305,0.8986
411448,0.259,0.11371
425450,0.294,0.0757
419338,0.451,0.17673
437515,0.354,0.18897
379798,1.014,0.65921
410683,1.304,0.74544
484988,0.84,0.56384
414976,0.651,0.23997
424801,0.325,0.17662
403058,1.229,1.16343
408095,0.481,0.22751
450908,0.096,0.01258
386800,2.208,1.08934
414975,1.006,0.42941
406922,0.457,0.18961
424789,0.588,0.27755
480417,0.843,0.37836
464040,0.75,0.27633
408830,1.643,1.06164
423925,0.998,0.46683
462144,0.383,0.35194
427669,1.764,1.22353
446971,0.688,0.31468
434475,1.401,0.96112
480428,0.259,0.13879
447807,0.804,0.4027
489566,0.425,0.13777
487479,0.544,0.25055
391638,2.201,1.1522
466990,0.162,0.05022
417543,0.131,0.03788
429491,1.137,0.31524
456118,1.164,1.10639
428497,0.355,0.1892
400468,0.807,0.41743
402391,0.294,0.10117
413534,0.903,0.45475
442269,0.421,0.15111
466001,0.449,0.15069
399685,0.294,0.08856
440983,0.517,0.15114
421388,0.81,0.36599
413687,0.882,0.58105
462126,0.421,0.1005
461868,1.033,0.59048
410343,0.94,0.37908
392854,0.914,0.40509
414824,2.071,1.40164
393241,0.519,0.37978
458978,1.422,1.29454
381739,0.29,0.17743
457351,0.545,0.28912
416759,1.102,0.55576
432337,1.009,0.68072
483558,0.544,0.22577
396692,0.356,0.15185
373839,1.038,0.57083
445772,0.517,0.22658
424792,0.806,0.30278
483323,0.573,0.61411
480159,0.993,0.72715
384983,0.682,0.44345
428488,0.882,0.25223
449662,0.488,0.25177
426655,0.975,0.40396
452185,0.546,0.30188
408241,0.585,0.24014
436088,0.421,0.18901
382923,1.068,0.4689
424512,0.131,0.01261
459119,0.556,0.30163
430908,0.843,0.26476
461166,0.87,0.71627
427172,0.488,0.34057
445399,0.163,0.03778
429019,0.819,0.3657
429647,1.16,0.47916
480354,0.456,0.23884
415804,0.294,0.12635
425288,0.819,0.41632
392686,0.808,0.35447
367370,0.616,0.44381
382223,0.615,0.45618
440338,0.163,0.18905
461563,0.456,0.23871
445905,0.679,0.22657
392184,0.615,0.36715
483173,3.301,2.53169
426470,0.163,0.05045
466833,0.841,0.38927
398517,1.193,0.86015
486164,1.007,0.43852
454128,0.719,0.7044
437062,0.584,0.26458
483634,0.258,0.40252
483562,0.162,0.01254
415823,0.62,0.41674
402882,0.651,0.35406
454931,0.354,0.28923
454138,0.163,0.07552
361129,0.52,0.15241
399940,0.096,0.0253
417684,1.37,0.61862
450367,0.096,0.01258
405012,1.168,0.3793
427182,1.256,0.85755
466003,0.719,0.3014
422708,0.518,0.22714
414153,0.355,0.27787
458051,0.421,0.38965
399604,0.879,0.69542
423923,0.355,0.15141
395235,0.096,0.02531
453488,0.456,0.20122
421958,0.488,0.13882
407076,1.007,0.39185
451058,0.421,0.16354
379629,0.783,0.30427
456889,0.87,0.37714
434741,0.163,0.0126
394846,0.356,0.17719
422381,0.902,0.78245
442395,0.811,0.8185
465996,0.65,0.64051
414282,0.553,0.21472
418939,1.006,0.85833
390119,0.712,0.41792
432363,0.914,0.40382
410526,0.163,0.06319
364740,0.646,0.43161
411455,0.882,0.42946
458374,0.708,0.59073
454362,0.258,0.02514
470634,0.587,0.32632
436090,0.557,0.16381
475026,0.42,0.16307
403540,0.457,0.34142
393249,0.585,0.26584
387701,0.452,0.16466
417537,1.552,1.4141
394837,0.615,0.29111
371161,1.408,0.72319
452977,0.619,0.28928
481627,0.162,0.10027
393607,0.557,0.1519
454131,0.325,0.1384
478741,0.974,0.21316
426641,0.259,0.13877
476947,0.42,0.22575
406904,0.457,0.11377
400138,0.844,0.7084
395756,0.426,0.20249
453634,0.737,0.83004
369627,0.489,0.08883
400314,0.771,0.41743
450019,0.294,0.16357
402397,0.911,0.40469
415146,0.62,0.26527
426471,0.425,0.3027
424319,0.588,0.30287
407894,0.557,0.24015
441133,0.688,0.32746
402690,0.326,0.21497
393250,0.426,0.17724
418513,1.716,0.97186
467173,0.131,0.01256
474440,1.364,0.61473
388471,0.426,0.26598
399615,0.193,0.15165
488367,0.649,0.16284
389398,0.294,0.10131
391646,0.289,0.2279
410830,0.422,0.16426
409681,0.851,0.36648
480152,1.265,0.80239
489711,1.25,0.92676
406206,1.107,0.77135
416597,0.588,0.17678
431511,0.517,0.1891
451862,0.163,0.1132
376660,0.489,0.17754
480328,0.881,0.87849
409478,1.132,0.6445
409140,0.488,0.13901
413801,0.488,0.2021
402036,0.163,0.01265
426841,0.815,0.35319
483867,0.294,0.22568
450021,0.719,0.36494
439046,0.425,0.28986
404330,1.584,1.18856
362347,0.779,0.41903
464935,0.774,0.59041
